Scheme Name	Net Asset Value
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1689
HSBC Banking and PSU Debt Fund - Direct Growth	25.2857
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3351
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.329
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.0941
HSBC Banking and PSU Debt Fund - Regular Growth	24.0184
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6217
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3017
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	33.7939
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.9498
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.4359
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.9704
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1037.4507
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2407.0305
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1054.5231
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1008.9647
Invesco India Banking and PSU Fund - Growth Option	2249.5121
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1052.9456
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.2402
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.2411
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	12.9126
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	12.9137
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	64.8389
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.1817
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	67.5221
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2903
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.2782
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.1963
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.0086
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.029
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2351
LIC MF Banking & PSU Fund-Regular Plan-Growth	34.5144
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	12.9174
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3234
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.1457
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.1413
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	12.8664
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	12.8674
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21.3552
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21.3550
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	20.5897
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	21.3550
